region,ages,year,population
IN,under18,2009,1609704
OK,under18,2007,904328
ID,under18,2002,375986
PR,total,1998,NaN
SC,total,2011,4673509
MI,under18,2001,2593310
ME,total,2002,1295960
RI,total,1990,1005995
OR,total,1999,3393941
NJ,total,1995,8083242
WV,total,2013,1854304
UT,total,1991,1779780
GA,under18,1998,2078998
NJ,total,1994,8014306
AZ,under18,1997,1237159
NE,under18,2002,447714
MT,total,1994,861306
IN,under18,2012,1589655
WI,total,2001,5406835
MI,under18,2005,2531839
AK,total,2013,735132
UT,total,2007,2597746
KY,under18,1999,996382
NC,under18,2005,2122485
OH,under18,2011,2693469
MI,total,2013,9895622
TX,total,2012,26060796
WI,total,1999,5332666
HI,under18,2008,301094
OR,total,2013,3930065
CA,total,1993,31274928
NC,total,2013,9848060
KY,under18,2000,994984
TN,total,1995,5326936
CT,total,1998,3365352
WY,total,2002,500017
KY,total,2002,4089875
IL,under18,2009,3138406
RI,total,2013,1051511
RI,total,2007,1057315
WY,under18,2010,135351
OR,total,2003,3547376
OK,under18,1991,849639
GA,under18,2000,2176576
IL,under18,1996,3192916
TN,under18,2011,1491837
OK,under18,1998,898501
GA,total,2012,9915646
AL,total,2012,4817528
NH,under18,1995,298246
IN,under18,2006,1603107
MD,total,1996,5111986
TN,under18,1996,1345723
WI,under18,2001,1367593
ID,total,2009,1554439
DE,under18,1993,176916
AK,under18,1990,177502
WV,total,1994,1820421
ME,total,1995,1243481
TX,under18,1999,5840211
MD,under18,2012,1346235
NJ,under18,1995,1997187
NJ,total,1993,7948915
CO,under18,1990,881640
OK,under18,1992,862548
TX,under18,2001,5980187
GA,total,1996,7501069
CA,total,2003,35253159
NC,total,1990,6664016
ID,under18,2013,427781
ND,under18,1990,170920
MN,total,2000,4933692
NM,total,2003,1877574
CO,total,2007,4803868
PR,total,1991,NaN
IA,under18,2002,723685
IA,under18,1999,732671
IA,under18,2010,727717
AZ,total,1993,4065440
PA,under18,2004,2873125
MD,under18,1995,1300695
NM,total,2000,1821204
FL,total,2008,18527305
ME,total,2008,1330509
IA,under18,1998,729943
ND,under18,2003,150406
USA,total,1998,275854116
AZ,total,2011,6468796
OR,total,2002,3513424
MI,under18,2013,2245201
RI,total,1995,1017002
USA,total,2010,309326295
NH,under18,1991,281127
WV,total,1990,1792548
IL,total,2010,12839695
HI,under18,1990,279983
IN,under18,2013,1586027
DC,under18,2000,114503
AK,under18,2001,188771
PA,under18,1991,2830059
LA,total,2002,4497267
FL,total,1993,13927185
AR,under18,1997,680203
MN,total,2003,5053572
NM,under18,1995,504558
CT,total,2001,3432835
KY,under18,1997,1002609
ME,under18,1995,309173
MO,total,2010,5996063
WY,under18,1992,137308
NJ,total,2000,8430621
MA,under18,1995,1453489
IA,total,1998,2902872
HI,under18,2007,300207
NM,total,2002,1855309
WA,total,2009,6667426
MI,total,1991,9400446
CA,total,2004,35574576
WV,under18,1990,436797
USA,under18,1992,66509177
FL,under18,2012,4012421
NM,under18,2004,501184
PR,total,2007,3782995
SC,under18,2009,1079729
ID,total,2003,1363380
NV,under18,2009,666041
HI,under18,2003,294519
IA,total,1996,2880001
VA,total,1995,6670693
DE,total,2013,925749
WI,under18,2010,1336094
PA,under18,2011,2761343
HI,total,2010,1363731
IL,total,2004,12589773
LA,total,2006,4302665
IN,total,2001,6127760
TN,total,1991,4966587
WA,under18,1990,1301545
KY,under18,2013,1014004
CA,under18,2006,9370884
OR,total,2010,3837208
CA,under18,2003,9404594
IA,under18,2004,718708
NV,total,2001,2098399
MT,under18,2012,222905
ME,total,2006,1323619
AL,under18,2001,1120409
MT,under18,1992,230868
TX,total,2008,24309039
TN,under18,2008,1494354
OR,under18,1994,793435
TX,total,1999,20558220
NV,total,2012,2754354
NE,under18,2004,448360
USA,total,2011,311582564
VA,under18,1992,1581544
NY,under18,2007,4410949
NJ,under18,2012,2035106
WV,total,2004,1816438
AZ,total,1991,3788576
NY,under18,1991,4372727
OH,under18,2005,2819794
IA,total,2006,2982644
TN,total,1998,5570045
PR,under18,2012,841740
MA,total,2003,6422565
ID,under18,2008,422347
MO,total,2002,5674825
IN,under18,2008,1611494
IA,under18,1996,729177
AL,total,1991,4099156
NY,total,1996,18588460
GA,under18,2008,2479097
NV,under18,2004,591314
IA,total,1991,2797613
WI,total,2007,5610775
AK,total,1992,588736
WY,total,2010,564222
IL,total,2013,12882135
MT,under18,2004,221999
SC,total,1999,3974682
ID,total,2013,1612136
MA,under18,2003,1493372
CO,under18,1996,1003946
AR,total,2000,2678588
OR,under18,1996,816102
NV,total,2003,2248850
FL,under18,1995,3366468
DC,under18,2009,102098
WI,total,2004,5514026
LA,total,1998,4440344
SD,under18,2002,198694
NE,under18,2006,450098
PA,under18,2001,2905836
SD,total,1994,730790
GA,total,2000,8227303
MI,total,2000,9952450
PR,under18,1996,NaN
AR,under18,2008,705725
OH,total,2001,11387404
IN,under18,2005,1593898
WY,total,1999,491780
SC,total,1997,3859696
WY,total,2004,509106
AK,total,1990,553290
FL,total,1992,13650553
FL,under18,2002,3774624
TN,under18,1999,1385997
AK,total,2011,723375
RI,under18,2007,233655
SC,total,2007,4444110
MO,total,2011,6010065
USA,under18,2011,73902222
IA,total,1994,2850746
NY,under18,2009,4342926
MO,total,2006,5842704
VT,under18,1991,145219
VT,total,1998,600416
HI,under18,2005,298497
NV,under18,2012,659655
IA,total,2010,3050314
LA,total,1997,4421072
NM,under18,2002,502779
NV,total,2009,2684665
MD,total,2008,5684965
AZ,under18,1994,1119857
CT,total,1999,3386401
WV,total,2000,1807021
NJ,under18,2011,2049453
ME,under18,2008,282204
FL,under18,1998,3557561
RI,under18,2009,225902
VA,under18,1996,1664147
ME,total,2007,1327040
VT,total,1990,564798
AK,under18,2003,186843
WI,total,1996,5229986
IL,total,1994,11912585
NM,under18,1990,453538
WY,total,2001,494657
UT,total,2002,2324815
NE,under18,1995,444418
AL,total,2009,4757938
AK,total,2001,633714
NE,under18,2013,464348
NV,under18,1994,376745
ID,under18,1994,344242
MO,total,1999,5561948
HI,total,2009,1346717
PA,under18,1997,2942240
WI,total,1990,4904562
AZ,total,2009,6343154
FL,total,1999,15759421
NC,total,1991,6784280
ME,under18,2012,264846
PA,total,1992,12049450
MN,total,1992,4495572
MT,total,1991,809680
OH,total,2003,11434788
WV,under18,1997,418037
AZ,under18,1996,1215285
SC,under18,2005,1036941
PA,total,1991,11982164
VT,total,2010,625793
IA,under18,2003,720102
MI,under18,2006,2503548
KS,total,2012,2885398
VT,under18,2012,124555
UT,total,2013,2900872
DC,under18,2006,105651
VT,under18,2013,122701
MD,total,1994,5023060
NH,under18,2001,311877
ME,total,2005,1318787
DC,under18,2008,102257
WY,under18,1998,132602
VT,under18,1996,151490
ND,total,2001,639062
MT,under18,1994,237289
DE,under18,2001,196038
NC,under18,2010,2282288
MN,under18,1998,1275940
IL,under18,2002,3238362
NY,total,1992,18246653
AL,under18,1998,1118252
MI,under18,2011,2299116
IL,under18,1993,3066541
OH,total,2012,11553031
NE,total,1999,1704764
NC,total,2007,9118037
WV,under18,2001,395307
NM,total,2010,2064982
TX,under18,2013,7041986
IA,under18,1993,727751
IL,under18,1994,3110938
ND,total,2002,638168
TN,total,2013,6495978
MO,total,2000,5607285
MD,total,1993,4971889
MO,total,1995,5378247
MT,under18,2005,221685
GA,under18,1991,1773675
AR,total,1996,2572109
NY,under18,2004,4574065
WV,total,2008,1840310
VT,under18,1998,148467
NV,under18,2008,662621
NV,total,1995,1581578
NE,under18,2007,451946
MO,total,1994,5324497
PR,total,2011,3686580
AK,total,1994,603308
TN,total,1992,5049742
ND,total,1997,649716
MA,total,2000,6361104
IA,under18,1991,724446
WA,total,1997,5674747
TX,total,2002,21690325
WI,total,2009,5669264
VA,under18,2006,1826368
RI,under18,2003,248075
PA,total,1998,12245672
TX,total,1991,17398005
OH,under18,1998,2896255
TX,under18,2012,6985807
DC,under18,2004,109756
NJ,under18,1991,1849605
PR,under18,2008,945705
NC,under18,2013,2285605
RI,under18,2000,248065
MS,total,1995,2722659
MN,under18,1996,1252722
WA,total,2012,6895318
ID,under18,2010,428961
NH,total,1995,1157561
PR,total,2008,3760866
MD,total,2011,5840241
VT,total,1997,597239
HI,under18,2000,295352
PR,total,1997,NaN
CO,total,2009,4972195
MS,total,2008,2947806
MS,under18,2004,760410
MI,under18,1997,2582270
TN,under18,1997,1359030
WI,under18,1999,1367019
HI,under18,2010,303812
KY,total,1994,3849088
AZ,under18,1995,1173391
ME,under18,1990,308066
NM,under18,2008,511214
IN,under18,1996,1517961
TX,total,1998,20157531
NY,total,2009,19307066
ME,total,1990,1231719
NH,total,1990,1112384
AZ,total,2008,6280362
RI,under18,2004,246228
NY,under18,2006,4457777
NC,under18,2004,2085165
AK,under18,2009,186351
GA,under18,1995,1949818
CO,total,1993,3613734
MN,under18,1993,1226723
CT,under18,2003,851115
VA,under18,2003,1782254
TX,under18,1995,5421784
HI,total,2002,1239613
HI,under18,2004,298103
TN,total,2007,6175727
WV,total,1991,1798735
CA,under18,2012,9209007
VA,total,2004,7475575
FL,total,2010,18846054
AZ,under18,2002,1427938
OK,total,1991,3175440
WV,under18,2010,387224
NC,under18,1999,1932141
UT,under18,2009,857853
NE,under18,1997,450076
DC,total,2008,580236
WV,under18,2012,384030
VT,under18,2004,141068
NV,total,1993,1411215
OK,under18,1995,883667
NE,total,1991,1595919
PA,under18,2007,2839574
MD,under18,2003,1379641
NH,total,2000,1239882
MS,total,2005,2905943
SC,under18,2008,1074116
WA,under18,1995,1429397
OR,total,1992,2991755
SC,total,1996,3796200
DE,under18,1994,180833
CT,total,1993,3309175
NY,total,2010,19398228
AR,total,2006,2821761
OH,total,2010,11545435
OH,total,2004,11452251
AR,under18,2003,679579
VT,total,2011,626320
MD,total,1991,4867641
IN,total,2009,6459325
MD,under18,2004,1383450
PR,total,2002,3823701
NH,under18,2003,311412
SC,under18,1993,956951
LA,total,1999,4460811
NE,under18,1992,436378
VT,under18,1990,143296
ND,total,2008,657569
NV,total,2000,2018741
VA,under18,1999,1723125
IA,total,1990,2781018
UT,total,2000,2244502
ID,total,2000,1299430
UT,total,2003,2360137
GA,total,1995,7328413
AR,under18,1996,677912
USA,total,1999,279040181
NM,total,2009,2036802
PA,under18,2006,2850778
AL,total,2007,4672840
MA,total,2013,6692824
WI,under18,1992,1330555
CO,under18,2005,1156399
RI,under18,1999,247014
FL,under18,1999,3611711
MS,under18,1993,755820
PA,under18,2005,2859793
NY,total,1998,18755906
AR,total,1991,2383144
AR,under18,2010,711947
PA,total,2003,12374658
SC,total,1993,3663314
OH,under18,1990,2778491
WI,total,2000,5373999
AR,total,2011,2938506
LA,under18,1991,1222330
WA,total,1998,5769562
VA,under18,2001,1754549
NV,total,2011,2717951
WI,under18,1996,1352877
SD,total,2000,755844
USA,under18,2000,72376189
MI,total,1995,9676211
WA,total,1994,5375161
FL,under18,2008,4018372
IA,total,1995,2867373
RI,total,2009,1053646
FL,under18,2005,3968178
MO,under18,1990,1316423
CA,total,1990,29959515
NV,under18,2013,661605
ND,total,2013,723393
RI,under18,2012,216591
TX,total,1994,18564062
AL,total,1993,4214202
FL,total,2012,19320749
NJ,total,1999,8359592
NH,under18,2012,275818
NY,total,2013,19651127
IL,total,2005,12609903
MT,total,2006,952692
AK,total,2007,680300
NE,under18,1996,446841
LA,total,2008,4435586
LA,total,2012,4602134
MI,under18,1994,2535196
UT,under18,1998,709386
OK,under18,2002,884961
MT,under18,2011,222977
SC,total,1991,3570404
WV,under18,2011,385283
CA,under18,2002,9365142
NH,under18,2006,305169
FL,total,1997,15186304
PR,under18,1994,NaN
LA,total,1995,4378779
CT,under18,2012,794959
WI,under18,2004,1354643
AK,under18,1993,187190
NC,under18,1990,1625804
MD,under18,1993,1261738
MN,under18,2000,1289715
OH,total,1994,11152455
NE,total,1997,1686418
CT,total,2002,3458749
AL,under18,1990,1050041
KS,total,1997,2635292
WA,total,1990,4903043
NV,total,2004,2346222
VT,under18,2007,134695
NE,under18,2010,459621
IN,under18,2003,1582560
NH,under18,2004,309243
MN,under18,1999,1283102
MS,total,2009,2958774
NM,under18,2001,503404
WA,under18,2001,1517527
ID,total,2006,1468669
IN,under18,1993,1473007
IL,total,1996,12101997
KY,total,1998,3985391
NY,under18,2013,4239976
CT,total,2000,3411777
MI,total,1994,9597737
WA,under18,2007,1549582
OH,total,1998,11311536
SC,under18,1995,975884
KS,under18,1992,680871
ID,total,1998,1252330
CA,total,2002,34871843
CA,total,2005,35827943
SD,under18,2001,200795
OR,under18,2008,865664
MO,total,1993,5271175
ND,under18,1995,171146
MO,under18,2009,1426603
DC,total,2002,573158
CO,total,1998,4116639
MI,under18,1990,2459633
IA,under18,1992,724798
FL,under18,1990,2988807
WA,total,1993,5278842
MT,total,1997,889865
SD,under18,2007,198847
PR,total,1996,NaN
SD,total,1992,712801
NV,under18,1997,443626
GA,under18,2013,2489709
PA,total,2004,12410722
WV,total,1998,1815609
USA,under18,1993,67594938
TN,total,1990,4894492
PR,total,2004,3826878
AR,total,1998,2626289
SD,under18,2009,201204
NE,under18,1998,451192
OH,under18,1994,2875397
CA,under18,1995,8920578
MO,total,1996,5431553
LA,under18,2010,1118576
LA,total,1991,4253279
SD,total,2002,760020
AL,total,2008,4718206
NC,under18,2011,2284238
NV,under18,2001,534708
OR,under18,1995,806512
WV,under18,1995,428790
PA,under18,1990,2799168
IL,total,2003,12556006
WY,under18,1991,136720
SC,total,2013,4774839
CA,total,1992,30974659
UT,under18,2005,767888
TN,total,1996,5416643
CA,total,2010,37333601
WV,under18,2008,390210
AR,under18,1993,643474
CO,total,1996,3919972
NM,under18,1996,508100
CA,total,1996,32018834
CT,under18,1997,814373
NJ,total,1992,7880508
USA,under18,2002,72936457
NM,total,1998,1793484
ND,total,2000,642023
MO,total,2009,5961088
MO,under18,1999,1428047
ME,under18,1991,309871
PA,under18,1993,2907351
LA,total,1996,4398877
KS,under18,1997,704001
DE,total,2004,830803
NC,under18,1994,1750754
MT,total,2007,964706
WV,under18,1991,433918
VT,total,2001,612223
MI,under18,2009,2372603
ID,total,1994,1145140
PA,under18,2013,2715645
ID,under18,1993,333838
VT,under18,1997,150040
SD,total,2009,807067
PA,under18,2000,2918850
FL,total,2011,19083482
KS,under18,2003,707847
PA,total,1990,11903299
AR,under18,1992,638269
GA,total,2002,8508256
IA,total,1999,2917634
NV,under18,1992,337396
LA,under18,2006,1078779
KY,total,2009,4317074
WV,under18,1993,432364
TN,total,1999,5638706
GA,total,2008,9504843
NC,under18,2001,2003782
SC,under18,2010,1079978
PA,under18,1994,2932851
NH,under18,2000,310352
NC,total,2005,8705407
IL,under18,2006,3181246
NJ,total,1991,7814676
TN,under18,2007,1482747
KS,under18,2009,721841
NC,total,1996,7500670
IA,total,2005,2964454
NM,under18,1997,514500
WA,under18,2008,1560302
KY,total,1991,3722328
OK,total,1993,3252285
MS,total,1999,2828408
HI,total,1998,1215233
MN,under18,2008,1284179
AZ,total,2000,5160586
AL,under18,2009,1134192
GA,under18,2012,2487831
SD,under18,1999,203737
LA,under18,1996,1244627
NM,total,2012,2083540
NV,total,1992,1351367
MN,under18,2010,1282693
OK,total,2001,3467100
DC,total,2009,592228
WY,total,1993,473081
MN,under18,2002,1288795
MT,under18,2009,223675
UT,under18,2010,873019
WV,total,2005,1820492
NY,total,1995,18524104
MO,under18,1992,1349729
NV,total,2006,2522658
MI,total,2010,9876149
OK,total,2006,3594090
NV,under18,2005,611595
KY,total,2011,4366869
LA,total,1992,4293003
DE,under18,2007,205155
GA,total,1998,7863536
DE,total,2009,891730
VA,total,1996,6750884
VT,under18,1992,146983
DC,under18,2001,114625
FL,under18,1996,3431695
NM,under18,2009,515470
HI,under18,1996,311213
MI,total,2004,10055315
MO,under18,2002,1424513
NC,under18,1993,1710267
OK,under18,2013,947027
PR,total,2010,3721208
OR,total,1995,3184369
DE,under18,2006,203729
GA,total,2004,8769252
AK,under18,2008,183124
DC,total,2007,574404
RI,under18,1991,229448
TX,under18,2006,6446798
CO,total,2002,4490406
WA,total,2008,6562231
VT,total,2002,615442
MT,under18,2002,224772
CT,total,1996,3336685
NH,total,1992,1117785
MN,total,1993,4555956
MA,total,1994,6095241
GA,under18,1999,2130698
AK,under18,2012,188162
HI,total,1996,1203755
WI,total,2008,5640996
IN,total,2008,6424806
ID,under18,2006,404753
OK,under18,2000,891847
IL,under18,1990,2940837
NH,total,2007,1312540
MO,total,2004,5747741
SC,under18,1996,987576
MS,total,2010,2970047
PA,total,2005,12449990
NM,total,2013,2085287
HI,under18,1993,301473
IL,under18,2003,3225547
AZ,total,1995,4432499
MO,under18,1997,1419837
VA,under18,2004,1801958
AK,under18,2004,186335
NE,total,2009,1812683
ID,total,1991,1041316
FL,total,1996,14853360
DE,under18,1998,189302
TN,total,1997,5499233
NV,total,1994,1499298
MT,under18,1990,223677
WY,total,1992,466251
NY,under18,2008,4372170
NH,under18,1990,277454
NM,total,1991,1555305
KS,total,1998,2660598
FL,under18,2009,3997283
OH,under18,2009,2748051
NH,under18,1998,307292
TX,under18,1994,5331524
OK,under18,2011,935714
GA,total,2009,9620846
MT,under18,2010,223292
MS,total,2003,2868312
PA,total,1996,12220464
ME,under18,1997,305097
VA,total,2005,7577105
NC,total,2004,8553152
FL,under18,2010,3999532
AR,under18,2012,710471
KY,under18,1995,984486
UT,under18,2013,896589
MN,total,2005,5119598
AK,under18,2006,185580
PR,under18,1990,NaN
PR,total,1999,NaN
NY,total,2002,19137800
NC,under18,2003,2060838
MA,total,2004,6412281
CA,total,2007,36250311
NY,total,1997,18656546
MT,under18,2001,227118
AK,under18,1998,192636
IN,under18,2010,1605883
NY,total,1991,18122510
HI,under18,1999,299680
WY,total,2011,567329
CT,under18,1998,824600
WV,total,1992,1806451
FL,under18,2003,3820876
NC,under18,2007,2219168
SD,total,2007,791623
MO,under18,2000,1428383
DC,under18,1990,112632
WV,under18,2004,391856
MT,under18,2003,223012
LA,under18,2004,1182731
ID,under18,2000,370430
RI,total,2002,1065995
DE,under18,1992,174166
NV,total,2010,2703230
AL,total,2011,4801627
AZ,under18,1990,1006040
IN,total,1991,5616388
AL,total,1999,4430141
GA,total,1991,6653005
IN,total,2012,6537782
GA,total,2007,9349988
WY,total,2013,582658
ID,total,2007,1505105
CA,total,2011,37668681
WV,under18,2003,392460
DE,total,2008,883874
UT,under18,1999,715398
ND,under18,1992,172052
ND,under18,2007,147263
TX,under18,1998,5759054
SD,under18,1991,201749
FL,total,2007,18367842
NH,total,2008,1315906
TN,total,2000,5703719
MA,total,2009,6517613
AK,under18,2013,188132
KS,under18,1991,672033
DC,total,1991,600870
GA,under18,2003,2278710
WA,under18,2004,1520751
NE,under18,1994,442589
ND,total,2003,638817
WA,under18,2003,1514877
KY,total,1997,3952747
NC,under18,2002,2034451
CT,under18,1992,777264
MS,under18,2001,768418
HI,total,1993,1172838
WA,under18,2010,1581436
ME,total,1992,1238508
FL,under18,2001,3714439
GA,total,1997,7685099
DE,under18,2013,203558
PA,total,2010,12710472
KY,total,1993,3812206
MD,under18,2008,1359214
OR,total,1994,3121264
MD,under18,1994,1280772
IA,total,1992,2818401
MD,under18,2013,1344522
FL,total,2006,18166990
TN,under18,1994,1310988
CO,under18,2013,1237932
MN,total,1999,4873481
NV,under18,2010,663180
WA,under18,2006,1536926
FL,under18,1992,3120439
VA,under18,1995,1649005
MN,total,1998,4813412
WY,under18,2008,131511
WV,under18,1996,422831
ND,total,1993,641216
UT,total,1996,2067976
TN,under18,2001,1407578
MA,under18,1991,1375110
NC,under18,2009,2272955
NV,under18,2002,552816
KS,total,1995,2601008
NM,under18,2003,500777
LA,total,1994,4347481
OK,total,2009,3717572
MT,total,2013,1015165
KS,total,2009,2832704
DC,under18,1993,120471
IL,under18,1992,3033427
AZ,under18,2003,1453671
MO,under18,1996,1408732
NY,under18,1990,4281643
USA,total,2008,304093966
GA,under18,2011,2488898
DC,total,1995,580519
USA,under18,2003,73100758
OH,total,1999,11335454
WY,under18,2012,136526
KY,under18,2007,1016288
ND,total,1992,638223
NC,under18,2006,2166393
NY,under18,2000,4687374
AR,total,1992,2415984
PR,under18,1997,NaN
WA,total,1996,5569753
NH,total,1994,1142561
KY,total,2006,4219239
MA,under18,2005,1464140
NE,under18,2000,450380
MO,under18,2011,1414444
WA,total,2003,6104115
AR,total,1999,2651860
MT,total,1992,825770
KS,under18,1994,693673
OH,under18,1992,2839356
MD,under18,2005,1382966
DE,total,1999,774990
NV,under18,1996,419133
NM,under18,2013,507540
IA,under18,2001,728601
OH,total,2000,11363543
WI,under18,2012,1316113
OH,under18,1997,2897375
MS,total,1991,2598733
GA,total,2003,8622793
WV,total,2002,1805414
AR,under18,2007,702737
IL,total,2006,12643955
SC,under18,1994,969766
CA,under18,2009,9294501
MA,under18,1990,1353806
AZ,under18,2000,1373414
ND,under18,2008,147462
WI,under18,2011,1325870
TN,total,2008,6247411
MO,under18,2003,1421927
USA,total,2001,284968955
KY,under18,1990,945951
DE,total,1997,751487
AL,under18,2007,1132296
FL,total,1995,14537875
NH,under18,1997,302834
VA,under18,2013,1864535
MA,under18,2001,1505028
NE,total,1998,1695817
AK,under18,2000,190615
AK,total,2010,713868
AL,total,2005,4569805
UT,total,1999,2203482
CA,under18,1994,8790058
IL,under18,2001,3243617
UT,under18,1990,627122
MN,total,2004,5087713
TX,under18,1997,5655482
NY,total,2012,19576125
CO,under18,2012,1232864
PR,under18,2011,869327
MI,total,1993,9540114
NH,total,2010,1316614
LA,total,2000,4471885
NJ,under18,2004,2129051
RI,total,2001,1057142
PR,under18,2013,814068
OK,under18,2004,881606
NJ,under18,2001,2102838
SD,total,1995,737926
CT,total,2003,3484336
MS,under18,2009,758539
IL,total,1993,11809579
MS,under18,2000,774353
WA,under18,1992,1365480
MD,total,2001,5374691
DC,under18,2011,103906
ND,under18,1991,171730
KS,total,2011,2869548
NV,under18,1998,469424
CO,total,1999,4226018
WY,under18,2007,128760
LA,total,2010,4545392
LA,under18,2007,1096642
DE,total,2000,786373
WY,total,1998,490787
ND,total,2010,674344
TN,total,2009,6306019
NM,under18,1999,511135
HI,total,2007,1315675
WI,total,2003,5479203
TN,total,2001,5750789
CO,under18,1999,1083938
NY,total,2004,19171567
LA,under18,1990,1205984
NV,total,1997,1764104
WY,total,1996,488167
TX,total,1992,17759738
CO,under18,2004,1146369
AR,total,1993,2456303
NE,under18,1990,430068
NH,under18,1996,300161
MT,total,2004,930009
ID,total,1996,1203083
CT,under18,2007,833484
DC,total,2001,574504
KY,under18,1993,971134
HI,under18,2001,294133
WA,total,2011,6821481
TN,under18,1991,1233260
WA,under18,1997,1473646
TN,under18,2010,1495090
MO,under18,1991,1332306
DE,total,2005,845150
IA,under18,2009,726969
FL,total,2000,16047515
CA,under18,1999,9207878
IN,total,2007,6379599
GA,under18,2010,2490884
CO,total,2000,4326921
PA,total,2009,12666858
TX,under18,1993,5217899
TN,total,2005,5991057
AL,under18,2006,1126798
IL,under18,2013,3023307
WI,total,2006,5577655
ME,total,1996,1249060
LA,under18,2008,1108728
WA,total,2007,6461587
IN,total,1997,5955267
NJ,total,2013,8899339
MI,total,2012,9882519
SD,total,1997,744223
IA,under18,1995,726961
PA,total,2012,12764475
MI,total,1990,9311319
DE,under18,2000,194914
UT,total,2011,2814784
CA,total,2012,37999878
TX,under18,2005,6290970
LA,under18,2013,1112957
WV,under18,2007,390661
SD,under18,1995,207890
AZ,under18,1999,1332396
USA,under18,2008,74104602
UT,under18,2008,837258
AK,total,2012,730307
WI,total,1992,5025398
ND,total,2007,652822
ND,total,1999,644259
AK,total,2004,659286
VT,total,1991,568606
SD,total,2005,775493
NC,total,2003,8422501
RI,total,2010,1052669
NE,under18,1993,439313
OH,under18,1996,2883443
IN,under18,2000,1574989
FL,under18,2007,4031098
PA,under18,2008,2821004
IN,under18,2007,1609494
HI,total,2005,1292729
VT,total,2004,619920
AL,total,1996,4331103
CO,total,2012,5189458
AL,under18,1993,1085606
WV,total,2012,1856680
ME,under18,2003,296786
ND,under18,2001,156113
ID,total,2008,1534320
USA,total,2003,290107933
TX,under18,1996,5551447
WY,under18,1997,134328
KS,total,1992,2532395
OK,total,1990,3148825
GA,total,2006,9155813
NM,total,1996,1752326
NE,total,1994,1639041
USA,under18,2005,73523669
HI,under18,1991,287871
VT,under18,2005,138933
NJ,under18,1996,2016502
HI,under18,2006,299313
VA,under18,1993,1604758
DE,total,1992,694927
OH,total,2013,11570808
CO,under18,2000,1106676
TX,total,1995,18958751
MS,total,1996,2748085
AK,total,1995,604412
MA,under18,1996,1468614
VT,under18,2001,146040
CA,total,1994,31484435
KY,under18,2009,1021710
SC,total,2001,4064995
UT,total,2001,2283715
USA,under18,2007,74019405
GA,under18,2009,2485781
DE,total,2002,806169
MT,total,1998,892431
IN,total,2000,6091866
GA,under18,2001,2215390
VT,total,2012,625953
MN,under18,1997,1264250
KS,under18,1999,713022
CT,under18,1991,766304
IN,total,1995,5851459
VT,under18,1993,148705
OR,under18,1990,742436
KS,under18,2010,727729
TN,under18,1990,1220200
PA,total,2011,12741310
NJ,total,2004,8634561
AZ,under18,2008,1628651
SD,under18,2008,199848
MD,total,2005,5592379
ND,under18,1997,167475
ND,total,1995,647832
USA,total,2012,313873685
NJ,total,2010,8802707
NV,under18,1995,396223
MI,under18,2003,2569080
RI,total,1999,1040402
WI,total,2011,5708785
NH,total,2003,1279840
DE,total,1996,740978
SC,under18,1997,1001681
NH,under18,2013,271122
KS,total,2007,2783785
KS,total,2005,2745299
IA,under18,1990,719366
MT,under18,1991,225259
TX,under18,1992,5109805
MO,total,1998,5521765
WI,under18,2006,1348785
AZ,total,2010,6408790
HI,total,2013,1404054
DC,total,1999,570220
ME,total,1993,1242302
SD,under18,2005,196476
CA,under18,2013,9174877
NJ,under18,1992,1890108
IL,total,2009,12796778
OR,total,2004,3569463
AR,under18,2009,707886
PR,under18,2006,998543
MI,total,2007,10001284
VA,under18,2002,1771247
KS,under18,1990,662641
IN,under18,2001,1579527
NC,total,1998,7809122
MT,total,2000,903773
AZ,under18,2012,1617149
OR,under18,2011,862518
MI,under18,1992,2501765
NH,total,1993,1129458
KY,under18,2012,1017350
NJ,under18,2005,2121878
FL,under18,2006,4022912
WA,total,1999,5842564
MD,under18,2002,1375354
PR,total,2006,3805214
TX,total,2003,22030931
CO,under18,1997,1030557
PR,total,1992,NaN
MS,under18,2008,760572
VA,total,2002,7286873
NJ,total,2008,8711090
RI,under18,1993,237218
UT,under18,2006,789957
NY,under18,2012,4264694
SD,under18,1998,204786
MN,total,2007,5207203
OR,under18,2009,866194
MA,total,2011,6606285
TN,total,2006,6088766
HI,under18,1997,309465
MD,total,1992,4923369
USA,under18,1990,64218512
AR,under18,2005,689787
TX,total,2006,23359580
ME,total,2011,1327844
WI,total,1993,5084889
OR,total,2005,3613202
NE,total,2008,1796378
WI,under18,1998,1362907
MO,total,1997,5481193
UT,total,2010,2774424
IL,total,1992,11694184
WY,total,1991,459260
AZ,total,2002,5396255
PA,total,2013,12773801
MS,under18,2007,761171
MI,under18,2002,2584310
WY,total,1995,485160
NE,under18,1991,434525
VA,total,2006,7673725
AZ,total,1997,4736990
ID,total,1992,1071685
MA,total,2008,6468967
LA,under18,2000,1217670
KS,total,2003,2723004
IA,under18,1997,729806
IL,under18,2000,3244944
HI,total,2003,1251154
NJ,total,2003,8601402
SC,total,1998,3919235
VT,under18,2003,142718
TN,under18,2003,1424861
SC,under18,2000,1010641
KS,total,2001,2702162
AZ,total,2005,5839077
CT,total,2009,3561807
OK,under18,1994,877803
VT,total,2008,624151
MA,total,2001,6397634
AL,under18,2002,1116590
MD,under18,2009,1353631
NC,under18,2012,2284122
OK,under18,2012,939911
HI,total,1990,1113491
